PS_PARTKEY                 VALUE
     73760          9799461.74E0
    142057          9797873.56E0
    134275          9792778.49E0
     38402          9783674.74E0
    154497          9776410.14E0
     72581   9746191.360000001E0
     28055           9743469.6E0
    153956          9742381.02E0
     60858          9737021.36E0
    143914          9730898.32E0
    109542   9729767.040000001E0
     30774          9721921.33E0
    125297           9716890.0E0
     78413   9714998.579999998E0
    156612           9709705.3E0
     78270          9708536.25E0
    123222   9696155.040000001E0
     89820           9686665.1E0
     47770          9673941.84E0
     26779           9671697.0E0
    130851   9663661.120000001E0
     17825   9660954.030000001E0
     63364          9654494.17E0
    103476          9633813.34E0
    184539   9632607.950000001E0
    106669          9628806.32E0
     34445          9626899.04E0
     17608          9625849.48E0
    138441          9619897.71E0
     85940          9609447.98E0
    143092          9594018.66E0
    191469   9590631.860000001E0
    131290          9584587.58E0
     43480          9582364.66E0
    167267           9574215.6E0
    124743          9566046.84E0
    121147          9565085.12E0
    185657           9562481.4E0
    163946          9561033.68E0
     75180           9560743.5E0
     45536          9552890.58E0
     94451   9544714.879999999E0
      9411          9541127.52E0
    108740   9537152.219999999E0
    155858           9535011.0E0
    140400          9529683.12E0
     18539          9529097.05E0
    111419   9527839.200000001E0
     56517          9527461.26E0
     12388   9512254.020000001E0
     52974          9511668.18E0
     50920          9511326.02E0
    102737          9510863.67E0
    174030           9510525.0E0
    148840          9510481.92E0
    113965   9508374.200000001E0
     79336           9505994.4E0
     42508          9504722.83E0
    137436          9498627.54E0
    135242          9497499.38E0
     29500          9493107.84E0
     23144          9490091.52E0
     96984          9483331.24E0
    143721          9482372.25E0
    185158          9474580.44E0
    107104           9467359.2E0
    131653          9462227.25E0
     46803   9459081.299999999E0
     73252          9456378.36E0
     15086   9449463.879999999E0
    178403          9446493.87E0
    159528           9445810.0E0
     38954          9442245.68E0
    162719          9440292.84E0
    119595          9440001.41E0
    185035          9436611.25E0
      1460          9432132.56E0
     56788          9424716.14E0
     37796          9418070.88E0
    154890          9413877.33E0
    188240   9412673.110000001E0
    167004           9404116.4E0
    176576          9401505.78E0
    133332   9397210.530000001E0
    110054   9392249.209999999E0
    152088          9391955.49E0
     59076          9386578.55E0
    173326          9377255.74E0
     93656          9374032.59E0
     72006          9361107.35E0
    193203           9360087.6E0
     94566           9355754.5E0
    158821          9351570.69E0
    153092          9348916.98E0
     13810          9345547.53E0
    138503   9335084.740000002E0
    194422          9332615.64E0
     78076           9331767.5E0
     85512          9329065.91E0
     44374   9326826.959999999E0
    176155           9320866.1E0
    115967           9318790.4E0
     70905           9313144.8E0
    109485   9307387.469999999E0
    126977          9301029.21E0
    150282   9295061.440000001E0
    105203          9294180.84E0
    155909          9292471.65E0
    152421   9288075.790000001E0
     59558           9285903.2E0
     40701          9283689.61E0
     38921          9281982.08E0
    125632          9279434.92E0
    127645   9274312.040000001E0
     38932          9267142.56E0
     37085          9267111.32E0
     46786   9261292.959999999E0
    122641          9261019.35E0
     57015          9258705.82E0
     85671   9255760.299999999E0
     62239          9254839.26E0
     97423          9253222.11E0
     70726          9252549.28E0
     92325           9240449.4E0
     24936          9228603.51E0
     17749           9221119.0E0
     60372           9218885.2E0
     97267   9215256.049999999E0
     13447          9213389.68E0
     27739          9212495.95E0
    165809          9207967.99E0
     99791           9204811.0E0
    107844          9198703.92E0
     51142          9194726.38E0
    163443   9191069.049999999E0
     28868   9190157.969999999E0
    163536          9184771.44E0
    157100          9183769.06E0
    111856          9175948.12E0
     98465          9173943.52E0
     38802          9167493.08E0
    117360   9162505.469999999E0
    132926          9157680.61E0
       121   9153132.280000001E0
     44771          9152239.05E0
     25600           9147384.9E0
     56476   9144509.440000001E0
    150482          9143660.16E0
    124414          9142516.87E0
     16517          9137986.11E0
    119026   9135990.360000001E0
    192925          9131081.56E0
    157096          9130146.84E0
    121062           9128845.0E0
    169465          9125805.04E0
     30246          9124232.25E0
     64809          9121339.08E0
     20862          9119197.44E0
     86645          9114909.75E0
    133459          9113994.72E0
    101953          9111832.17E0
    158507          9108837.48E0
     90471          9108285.75E0
    144474           9107080.0E0
     98865          9105811.68E0
     94101   9102877.049999999E0
     65352          9102396.36E0
    164414          9098291.46E0
     66764           9096024.8E0
    144950           9094059.3E0
     22245          9092318.51E0
     76810           9088188.6E0
    116507           9087132.6E0
    188140          9086367.57E0
    157751          9085673.25E0
    196954           9085659.5E0
    194454          9083679.64E0
     79852          9075296.27E0
     62260           9070858.0E0
    173339          9070803.84E0
     51854          9067658.73E0
    100885          9066859.76E0
     83004          9058789.71E0
     58187          9057144.32E0
    130350          9056561.34E0
     63600          9048099.76E0
     63092          9047836.17E0
    189419           9047587.2E0
     38466          9046876.95E0
    141985           9046767.6E0
    181739          9044782.92E0
    169317          9044378.35E0
     30680          9044244.48E0
    114998           9041965.1E0
    139881          9032346.16E0
     87447          9028816.62E0
     60602          9027994.06E0
     93829           9027979.1E0
     90980   9026715.870000001E0
     65992          9021261.48E0
     83337   9020379.309999999E0
     19014          9007878.15E0
    199546          9005781.69E0
     34686           9004507.7E0
    189876           9004235.5E0
    133481   9004044.190000001E0
     47316          8996421.25E0
    108127          8992157.76E0
    178209   8972440.379999999E0
    176818           8970941.4E0
    174943           8969197.6E0
    178171          8967291.15E0
    199376           8965198.6E0
       351   8963035.799999999E0
     26366          8960448.72E0
     17143           8952416.0E0
     94134           8945196.3E0
     48158           8940729.6E0
     91783          8937620.54E0
    141369          8936021.25E0
    117528          8935251.72E0
     99620          8932833.84E0
     68507          8930662.39E0
    129775          8927746.41E0
     13223          8926942.99E0
     69585          8924342.85E0
     19181          8923064.76E0
     73205          8916325.68E0
    162641   8913007.479999999E0
    168205          8908983.76E0
    175255          8906267.66E0
      9020           8905832.0E0
     62746          8903409.24E0
     43218   8902623.280000001E0
     35686          8901664.24E0
    145107           8898460.2E0
    168163          8895980.61E0
    108075          8895569.35E0
     34582          8890819.96E0
     68695          8890372.08E0
     79491   8885597.120000001E0
     55203          8884105.23E0
    151577          8882105.68E0
    106353           8881927.3E0
    140292          8881769.46E0
     21359          8879384.49E0
     99364          8875288.26E0
    163157          8874704.56E0
     50861          8873998.29E0
     77783   8869038.639999999E0
    167496   8863171.950000001E0
    116008          8856606.88E0
    194505          8856592.92E0
     33286   8855429.459999999E0
     52008   8846114.549999999E0
     34363           8845992.6E0
     74314          8842102.43E0
    142657          8840871.38E0
     17063           8840649.6E0
    139339   8840559.089999998E0
    191470          8835962.72E0
     94936          8835918.64E0
     43979   8834266.799999999E0
      1221          8833018.68E0
       163   8832640.209999999E0
    125051          8830800.28E0
    133472          8826768.16E0
    113541          8825081.28E0
    151354          8823278.75E0
    173938           8820905.1E0
    102472          8814950.33E0
     55263   8813287.200000001E0
     66737           8807693.3E0
    181555          8804526.34E0
    108576           8804510.6E0
    184766          8803941.49E0
    166658          8803819.89E0
     10789   8803191.540000001E0
    113641          8798008.96E0
     54987          8796299.22E0
     10990          8793069.12E0
     34707          8791997.95E0
    137650          8788023.72E0
     37572          8781802.56E0
    190006          8780110.56E0
    109555   8779752.870000001E0
     97035          8778718.02E0
    188999   8777195.200000001E0
    117583           8776391.6E0
     26607          8774194.74E0
     35375           8771779.2E0
     69609           8771349.2E0
     41811   8770480.559999999E0
      9502          8770065.61E0
    150102          8768157.51E0
    174921          8767907.41E0
    176353          8767573.58E0
     25702   8764954.799999999E0
    187952          8764264.64E0
     58507           8756775.9E0
    157331          8752764.65E0
    190222          8749990.17E0
    156171          8749539.95E0
    173950           8747899.0E0
     13573          8747491.58E0
    102322           8746103.0E0
    172736          8742098.86E0
     92552           8737065.0E0
    191022          8734331.74E0
     35870           8733241.2E0
     77074          8731015.11E0
    175160   8727840.799999999E0
    129355          8725361.43E0
    131208          8720437.57E0
     46748   8718701.969999999E0
     46170          8717906.63E0
     82227           8717207.4E0
    116878          8714698.43E0
     97645          8714278.72E0
    171752          8712351.84E0
    130905   8712298.799999999E0
     58728          8711883.18E0
     22488          8709553.58E0
      1084          8709494.16E0
    139849           8704516.5E0
     73661          8704398.26E0
      3242          8702510.94E0
    163346          8700013.98E0
    183197   8700010.219999999E0
    119963           8693303.3E0
     44587          8690113.92E0
    114996           8686162.0E0
     21048          8684841.75E0
    130115          8684256.34E0
    159955          8681936.82E0
    141470   8680443.709999999E0
    108178          8676952.68E0
    137552          8675118.36E0
    172226   8669135.700000001E0
    184400   8668385.040000001E0
    131852          8664336.96E0
     12098          8663656.56E0
    109359   8663397.120000001E0
     36261           8663185.2E0
    130336          8662395.93E0
     38246          8661439.86E0
     42195           8661360.4E0
    114877   8659065.459999999E0
    110112           8657445.3E0
    108832   8657292.879999999E0
     71092          8656931.36E0
     70745          8656626.16E0
     68545   8655840.959999999E0
      5527          8654522.54E0
     82317          8653658.87E0
     51628   8652993.200000001E0
    172540          8648201.26E0
     37066          8645867.05E0
    163526   8630226.100000001E0
    149595           8628852.6E0
     31038          8626755.76E0
      8092          8626679.04E0
    178106           8626563.0E0
    179090          8623134.28E0
     81187           8621424.0E0
     59487   8619939.690000001E0
    153652          8618998.02E0
     68120           8618816.8E0
    112863   8617012.620000001E0
    128477          8616809.06E0
    179567          8616420.41E0
    174542          8613508.44E0
    104889   8610224.719999999E0
    126566   8608680.209999999E0
    150206          8608595.57E0
    106081          8607491.64E0
    133252          8606773.88E0
    186955          8604886.85E0
     49933           8598107.7E0
    132410           8598078.5E0
      5951   8594776.799999999E0
     86166          8592917.87E0
     24689          8588457.28E0
     19636          8581442.25E0
     55770   8580998.200000001E0
    114505          8580101.64E0
    142239          8579476.84E0
     76992          8576205.33E0
    177712   8574895.360000001E0
       950           8573963.2E0
      8240          8569367.82E0
    136966   8566564.440000001E0
    145484          8563629.92E0
    156748          8563183.35E0
      2436   8562699.379999999E0
     44480           8561061.0E0
    151476           8557856.1E0
     57185           8557421.6E0
     43779           8555005.8E0
    172870          8549754.84E0
     72355          8548351.89E0
    160706   8546556.780000001E0
    184497   8545005.440000001E0
    138944          8544680.32E0
    154581          8543912.72E0
    154516          8543906.25E0
     52792           8542720.0E0
     40239          8538803.38E0
     28788           8538356.6E0
    133751          8532887.52E0
     56899          8532763.09E0
     38451   8532749.280000001E0
    175203          8532078.54E0
     42472          8527698.82E0
    185111          8524482.82E0
    155536   8519272.200000001E0
    155334          8515888.22E0
      1502          8514630.32E0
    162966          8508299.85E0
     49398          8508267.81E0
    123190          8507276.04E0
     79398   8504327.700000001E0
     91946           8502067.4E0
     50168          8496769.32E0
     87850          8496095.82E0
     71140          8494992.88E0
     30268          8494412.76E0
     12986          8493652.44E0
    169918           8489424.0E0
    104800          8488559.11E0
      2657          8485618.95E0
    194231           8484121.1E0
    117805          8482152.98E0
     53197          8481510.02E0
     62932           8479426.1E0
     90127           8478220.1E0
     40748          8476974.91E0
    105189          8476210.44E0
     45512          8476043.16E0
    102052           8475333.9E0
    163226           8475149.8E0
    131862           8475025.0E0
    164888          8474389.56E0
     46346   8473619.200000001E0
     22743          8471810.72E0
    147044           8471534.4E0
    102814          8467159.15E0
    175427          8465366.11E0
     52133          8463472.83E0
    121910          8462975.39E0
     24000          8462646.83E0
    143763           8460736.4E0
     19546          8460381.64E0
     44381          8455270.52E0
     43961           8453778.3E0
    128731          8452651.68E0
    160879   8452067.959999999E0
     86255           8449541.4E0
    144941          8448834.65E0
     98120   8447393.280000001E0
     75244           8443672.2E0
    116339          8440884.54E0
    182423   8440391.370000001E0
    129890          8438462.04E0
    113188           8437289.7E0
    128120           8436925.6E0
     18637          8436071.48E0
    165628          8432589.75E0
     95121          8431736.39E0
    101487           8431581.8E0
     23914           8430621.1E0
     83999          8428798.95E0
     99993          8427275.88E0
     87811           8427249.4E0
    113106          8427223.68E0
    150759   8425859.780000001E0
     43958          8425830.82E0
    171766          8423061.84E0
    185144   8418106.879999999E0
    107427   8417508.450000001E0
    109583           8416558.5E0
      5044          8414477.25E0
    164271          8414046.05E0
     43778          8412450.18E0
    128186          8410520.68E0
    117093          8407998.72E0
    154866          8404954.47E0
     51754   8400840.040000001E0
     20027          8400355.24E0
    135670          8400075.61E0
     23805           8398117.0E0
    115425          8397965.48E0
     55553          8395623.25E0
     77792          8392725.31E0
    122743   8392399.200000001E0
     33319   8390763.280000001E0
    116451           8390506.4E0
    180659   8390462.809999999E0
    172746   8388767.459999999E0
    114443   8385597.859999999E0
    150330          8385253.06E0
    125339           8384680.3E0
     48465   8384113.000000001E0
     41148          8382419.08E0
    199901   8378670.720000001E0
    172827   8378065.149999999E0
     58465   8376072.100000001E0
    135646   8373548.300000001E0
     94351           8371621.2E0
      7366          8369093.96E0
      5736   8368616.399999999E0
    184825          8368104.26E0
     52781   8367115.590000001E0
     27335           8366854.0E0
    158496           8364724.0E0
    127944  8363437.0200000005E0
     76506          8361121.24E0
     69924   8358558.300000001E0
     39918   8358401.619999999E0
     99606   8358192.369999999E0
    111016          8357931.54E0
     38100          8356461.12E0
     70975          8354540.04E0
    132994           8351456.6E0
    137213   8351213.430000001E0
     84137   8348852.930000001E0
      3007          8348110.68E0
    198673          8346987.75E0
    198198          8345134.15E0
     28240          8344457.34E0
    164945   8342058.199999999E0
     97171          8342002.04E0
     43793   8340019.600000001E0
    137755           8339825.5E0
    130177   8337976.100000001E0
      6314          8336300.88E0
     37082   8334277.800000001E0
    130295          8330611.98E0
     56997          8330239.12E0
     39489          8328977.88E0
     50276           8328447.0E0
     49186          8326767.12E0
     38213          8326336.83E0
     96345          8321723.13E0
    127951           8317163.4E0
     78509   8316038.409999999E0
     70062   8310962.399999999E0
    132589   8308274.829999999E0
      2380          8308078.89E0
     42867          8307764.28E0
    151281  8307647.1899999995E0
      3586           8305917.3E0
    167534          8304817.92E0
    197076          8304803.28E0
    143947           8301931.5E0
    120608          8296868.16E0
     69328          8287595.68E0
     98373          8282737.42E0
    119204          8280205.29E0
    197472          8279823.93E0
    137442           8278654.8E0
     46969   8276112.079999999E0
     28126           8271700.5E0
    116904          8269524.48E0
    140143          8267238.72E0
    157260          8263623.54E0
     43151   8263485.600000001E0
    177956  8260254.7299999995E0
    168345  8257778.0600000005E0
    114558   8256873.760000001E0
    183326          8254896.84E0
     13358   8253829.800000001E0
    138080   8253729.399999999E0
     20774          8251738.39E0
     16044          8248593.15E0
    132760           8247362.2E0
     73284           8247231.0E0
    174139          8246925.84E0
     65614  8246097.2700000005E0
    141265          8242007.61E0
    196048   8235404.100000001E0
     92781   8228192.470000001E0
     74562  8227987.0200000005E0
    179471           8226646.0E0
    189852          8223655.13E0
    155845           8222133.4E0
     13508          8221070.29E0
     45947           8220955.1E0
     73287          8220932.78E0
     91489           8220039.6E0
    108067          8218987.92E0
     53222          8216010.45E0
    109543          8215931.68E0
    126042          8207262.18E0
     98780           8204751.1E0
    121302          8203461.42E0
    177951          8202508.16E0
    128817          8198330.92E0
     88451          8196844.88E0
    100685          8195764.95E0
    118360          8194789.44E0
     10989           8194216.8E0
    172018           8190889.3E0
     58683          8187648.55E0
     91729          8187562.32E0
     38495          8187424.91E0
     27129          8186054.26E0
    142806   8185605.390000001E0
     26267          8185297.59E0
    162350          8184995.04E0
     41607           8184644.5E0
    147710          8184386.32E0
     29935          8184027.57E0
    116790           8183558.7E0
    185984           8183467.1E0
      4492          8181198.74E0
     68399   8180659.279999999E0
    165233           8180073.8E0
    147875          8179318.88E0
      1601   8175480.779999999E0
    184257          8170603.51E0
    180992          8170593.86E0
    156432          8167860.25E0
     95624          8165846.72E0
     94848          8164874.24E0
    176708           8164208.8E0
    135722          8163669.68E0
     53612   8162862.460000001E0
    115297   8161907.130000001E0
      6954          8160592.64E0
    120236           8160139.2E0
     74544           8159827.0E0
     69261           8159259.8E0
     28524          8159115.72E0
     53059          8158470.62E0
     66311          8157369.23E0
     33614          8156992.41E0
    170991          8155414.68E0
     52858          8155148.54E0
    112355          8152470.25E0
    114555          8151420.42E0
    111332          8150195.06E0
    136989          8149512.42E0
      9615          8148748.44E0
      2841   8148678.449999999E0
     60645   8145193.970000001E0
    119559          8144694.48E0
    123455           8144153.8E0
    151772   8143540.569999999E0
     88898          8143321.24E0
     18468          8142256.67E0
    138500          8142254.44E0
     21039          8140354.55E0
     58356   8137998.859999999E0
     88563   8136725.800000001E0
    131016          8136269.09E0
    148061           8136265.5E0
     29420          8133693.47E0
     69512           8131873.5E0
     54296          8128929.38E0
    174562          8128773.38E0
     66439          8123537.68E0
    166398           8122397.8E0
    119317          8121790.82E0
     33758   8120714.869999999E0
     24424   8120493.899999999E0
    175425  8119500.5200000005E0
     95396  8119213.5200000005E0
    103470           8118232.5E0
       890          8113468.32E0
    126961          8110601.02E0
    128572          8110452.86E0
    186432  8106190.0200000005E0
     64875  8105736.0600000005E0
     97201           8098537.2E0
    162145   8097831.680000001E0
    168615          8097098.54E0
    178339   8096742.399999999E0
     73200          8096490.27E0
     65111   8095744.739999999E0
    179571          8095629.15E0
    123427          8094070.66E0
    128408          8092179.62E0
    134204           8091642.5E0
     77564   8091041.399999999E0
    118168   8090863.399999999E0
     96792          8087916.72E0
    148169          8087709.45E0
     23984          8087682.72E0
    135536          8087068.64E0
    189234   8086318.899999999E0
     66477          8082992.32E0
    187971          8082008.59E0
    193068          8079733.34E0
    147332           8079687.0E0
    123292   8078770.289999999E0
    166579          8077021.99E0
      9520          8076868.65E0
    191049   8076442.649999999E0
     12007   8075627.359999999E0
     83039   8075209.220000001E0
    141724   8075029.699999999E0
    112343          8074824.76E0
     70482   8074455.840000001E0
    194838           8073782.6E0
     21637          8073777.17E0
    125608          8073591.25E0
    110880  8071271.7299999995E0
    162359          8071187.03E0
    199569          8071159.59E0
     45821           8070809.6E0
    158334          8070474.62E0
     88168          8068721.33E0
    161715          8067644.52E0
    162708          8067504.48E0
     23292   8067384.399999999E0
    167079          8066441.14E0
    158644          8065684.36E0
    124529          8063689.92E0
    181411  8058171.9399999995E0
     64372          8054226.96E0
     13344          8052048.84E0
    132781          8051071.04E0
      8579  8051028.4799999995E0
    197077          8050418.51E0
    182626   8049021.630000001E0
    116980          8047563.79E0
    175905          8047350.36E0
    102563           8045666.8E0
    127563          8044471.26E0
     99479           8043791.0E0
     89328   8039073.390000001E0
    195247          8038640.75E0
      5651           8037388.6E0
     54096          8034955.47E0
    110792          8034408.48E0
     90126   8029168.399999999E0
       736          8028585.84E0
     83445          8023678.84E0
     89637   8022669.100000001E0
    138957  8021577.9799999995E0
    122001          8020446.72E0
    107492          8019781.38E0
    171262  8015588.0200000005E0
    194379           8014874.4E0
     72708           8014837.5E0
     55636          8006165.44E0
